Organ,GT_to_Gen_Desc_Accuracy,GT_to_Gen_Conc_Accuracy,GT_to_Gen_Combined_Accuracy,Gen_to_GT_Combined_Accuracy,GT_Desc_Cases,GT_Conc_Cases,Gen_Desc_Cases,Gen_Conc_Cases
Heart,91.32391604652199,45.876928533427915,82.19729344729345,98.25465071729599,22441,5639,20652,2839
Aorta,66.77142258537607,81.02909353209907,69.98051737200996,93.6553921923662,14319,4159,9863,3944
Lung,96.82816457010006,89.02631697738455,93.09039792387543,99.86080501101961,24087,22153,23324,19781
Esophagus,94.68613138686132,71.26099706744868,93.93368500376789,97.56861210312607,20550,682,19500,941
